Product Name,Short Description,Long Description,Image URL,Tags
!AL파이프렌치,,"스마토*12""*300mm/ 스마토*14""*350mm/ 스마토*18""*450mm",https://via.placeholder.com/150,"스패너/렌치, 파이프렌치"
!라쳇렌치,,알덴*AL-1000*8/9*11/13,https://via.placeholder.com/150,"스패너/렌치, 라쳇렌치"
!메타폴 확관기,,철.AL,https://via.placeholder.com/150,"배관공구, 확관기"
!몽키,,"스마토*10""*250mm/ 스마토*12""*300mm/ 스마토*15""*375mm/ 스마토*18""*450mm/ 스마토*8""*200mm",https://via.placeholder.com/150,"스패너/렌치, 몽키스패너"
!바이스그립,,어윈*10WRFR*고무그립,https://via.placeholder.com/150,"플라이어, 바이스그립플라이어"
!비압착펜치,,KLEIN*D213-9NE*청색,https://via.placeholder.com/150,"펜치/니퍼, 일반펜치"
!옵셑렌치*메가네스패너,,10*12/ 12*14/ 19*21/ 세신*8*9,https://via.placeholder.com/150,"스패너/렌치, 옵셋렌치"
!칼라그립몽키,,"스마토*6""*SM-C06",https://via.placeholder.com/150,"스패너/렌치, 몽키스패너"
!테퍼드릴*SEDA,,14.5mm~31mm,https://via.placeholder.com/150,"기리, 테퍼드릴"
!파이프렌치,,"스마토*10""*250mm/ 스마토*12""*300mm/ 스마토*14""*350mm/ 스마토*8""*200mm",https://via.placeholder.com/150,"스패너/렌치, 파이프렌치"
!파이프커터,,러너*VK20,https://via.placeholder.com/150,"커터, 파이프커터"
AL레기,,대형*600mm,https://via.placeholder.com/150,"원예용품, 레기"
AL우마*접이식,,300*1600,https://via.placeholder.com/150,"운반하역, 우마"
AL절단날,,"마그마*14""*120날",https://via.placeholder.com/150,"절단날, 알루미늄날"
AL파이프렌치,,"세신*10""*250mm~세신*36""*900mm",https://via.placeholder.com/150,"스패너/렌치, 파이프렌치"
A형사다리,,3자*AH형*SY103/ 4자*AH형*SY104/ 5자*AH형*SY105/ 7자,https://via.placeholder.com/150,"운반하역, A형사다리"
CD전선관커터,,22mm/ 28mm,https://via.placeholder.com/150,"커터, 기타커터"
C클램프*만력기,,"대원*5""",https://via.placeholder.com/150,"클램프, C클램프"
LPG카,,1구,https://via.placeholder.com/150,"운반하역, 수레"
LS사다리,,10단*A형~9단*A형,https://via.placeholder.com/150,"운반하역, LS사다리"
L렌치*육각렌치,,알덴*CR008*inch/ 알덴*CR008*mm/ 알덴*ELB1510-9/ 알덴*LB1510-9,https://via.placeholder.com/150,"육각렌치, 육각렌치세트"
L렌치*접이식*별렌치,,알덴*FT515-7/ 알덴*KT-1040-7*황색/ 알덴*OKT-1040-7*보라,https://via.placeholder.com/150,"육각렌치, 육각렌치세트"
L렌치*접이식*육각렌치,,알덴*F2510-7/ 알덴*KTD-35-6*녹색/ 알덴-KT1560-7*적색,https://via.placeholder.com/150,"육각렌치, 육각렌치세트"
L클램프,,스마토*J01*200*80~스마토*J06*600*120,https://via.placeholder.com/150,"클램프, L클램프"
MAX노미,,18*280*SUN POWER/ 18*350*SUN POWER/ 18*450*SUN POWER,https://via.placeholder.com/150,"비트, SDS노미"
MAX드릴비트,,14.3*320mm*SUN POWER~38*505mm*SUN POWER,https://via.placeholder.com/150,"비트, SDS-MAX"
PE코팅사다리,,NA200mm*22mm*텍스타/ NA300mm*22mm*텍스타,https://via.placeholder.com/150,"운반하역, 멘홀사다리"
PVC공구함,,정광*J-103*양개폐형/ 정광*J-201*적색양개폐형/ 정광*J-502/ 정광*J-601/ 정광*J-701*트렁크정리함,https://via.placeholder.com/150,"공구함부품함, 공구함"
PVC삽,,잠자리표*회색,https://via.placeholder.com/150,"원예용품, 삽"
P기름자바라*석유펌프,,소*뽕뽕이,https://via.placeholder.com/150,"청소용품, 석유펌프"
P쓰레받이,,nan,https://via.placeholder.com/150,"청소용품, 쓰레받이"
P헤라,,백색*160mm/ 백색*30mm/ 백색*톱니*160mm,https://via.placeholder.com/150,"미장공구, 헤라"
가위집,,가야*KL-11*1구/ 가야*KL-22*2구,https://via.placeholder.com/150,"공구함부품함, 공구집"
가정용공구세트,,스마토*20P,https://via.placeholder.com/150,"공구함부품함, 공구세트"
가정용사다리,,2단*SY902,https://via.placeholder.com/150,"운반하역, 가정용사다리"
각삽,,nan/ 잠자리표,https://via.placeholder.com/150,"원예용품, 삽"
강력니퍼,,"세신*6""*T20/ 세신*7""*J17",https://via.placeholder.com/150,"펜치/니퍼, 강력니퍼"
개량괭이*호빠,,잠자리표,https://via.placeholder.com/150,"원예용품, 괭이"
거두톱,,백마*TH2000*460mm*P손잡이,https://via.placeholder.com/150,"원예용품, 고지톱"
거울,,450*600*5T/ 600*600*5T/ 600*900*5T,https://via.placeholder.com/150,"측정공구, 거울"
건식코어비트,,이화*108mm~이화*88mm,https://via.placeholder.com/150,"홀쏘코어, 건식코어비트"
건식코어연결대,,이화*300mm/ 이화*400mm/ 이화*500mm,https://via.placeholder.com/150,"홀쏘코어, 건식코어비트"
겐노,,3kg*자루별도,https://via.placeholder.com/150,"망치, 기타망치"
견인바,,25mm,https://via.placeholder.com/150,"운반하역, 기타운반하역"
결속핸들,,주황색,https://via.placeholder.com/150,"목공구, 기타목공구"
결속핸들*일산,,일심*102/ 일심*115,https://via.placeholder.com/150,"목공구, 기타목공구"
경계석걸이,,2개=1조,https://via.placeholder.com/150,"운반하역, 기타운반하역"
고무망치,,흑색*12 OZ*한신/ 흑색*16 OZ*한신/ 흑색*24 OZ*한신,https://via.placeholder.com/150,"망치, 고무망치"
고무밀대*자루별도,,리빙엔젤*750mm*,https://via.placeholder.com/150,"청소용품, 고무밀대"
고무헤라,,"P손잡이*5""",https://via.placeholder.com/150,"미장공구, 헤라"
고지톱,,백마*5.1m,https://via.placeholder.com/150,"원예용품, 고지톱"
